<STATUS> at <TIME> (@100 ns),,push,pop,peek,clear,din,,full(exp:act),empty(exp:act),dout(exp:act)
SUCCESS at 15700 ns,,0,0,1,0,--------,,0:0,0:0,01001100:01001100
SUCCESS at 15800 ns,,1,0,0,0,01001101,,0:0,0:0,--------:01001101
SUCCESS at 15900 ns,,0,0,1,0,--------,,0:0,0:0,01001101:01001101
SUCCESS at 16000 ns,,1,0,0,0,01001110,,0:0,0:0,--------:01001110
SUCCESS at 16100 ns,,0,0,1,0,--------,,0:0,0:0,01001110:01001110
SUCCESS at 16200 ns,,1,0,0,0,01001111,,0:0,0:0,--------:01001111
SUCCESS at 16300 ns,,0,0,1,0,--------,,0:0,0:0,01001111:01001111
SUCCESS at 16400 ns,,1,0,0,0,01010000,,0:0,0:0,--------:01010000
SUCCESS at 16500 ns,,0,0,1,0,--------,,0:0,0:0,01010000:01010000
SUCCESS at 16600 ns,,1,0,0,0,01010001,,0:0,0:0,--------:01010001
SUCCESS at 16700 ns,,0,0,1,0,--------,,0:0,0:0,01010001:01010001
SUCCESS at 16800 ns,,1,0,0,0,01010010,,0:0,0:0,--------:01010010
SUCCESS at 16900 ns,,0,0,1,0,--------,,0:0,0:0,01010010:01010010
SUCCESS at 17000 ns,,1,0,0,0,01010011,,0:0,0:0,--------:01010011
SUCCESS at 17100 ns,,0,0,1,0,--------,,0:0,0:0,01010011:01010011
SUCCESS at 17200 ns,,1,0,0,0,01010100,,0:0,0:0,--------:01010100
SUCCESS at 17300 ns,,0,0,1,0,--------,,0:0,0:0,01010100:01010100
SUCCESS at 17400 ns,,1,0,0,0,01010101,,0:0,0:0,--------:01010101
SUCCESS at 17500 ns,,0,0,1,0,--------,,0:0,0:0,01010101:01010101
SUCCESS at 17600 ns,,1,0,0,0,01010110,,0:0,0:0,--------:01010110
SUCCESS at 17700 ns,,0,0,1,0,--------,,0:0,0:0,01010110:01010110
SUCCESS at 17800 ns,,1,0,0,0,01010111,,0:0,0:0,--------:01010111
SUCCESS at 17900 ns,,0,0,1,0,--------,,0:0,0:0,01010111:01010111
SUCCESS at 18000 ns,,1,0,0,0,01011000,,0:0,0:0,--------:01011000
SUCCESS at 18100 ns,,0,0,1,0,--------,,0:0,0:0,01011000:01011000
SUCCESS at 18200 ns,,1,0,0,0,01011001,,0:0,0:0,--------:01011001
SUCCESS at 18300 ns,,0,0,1,0,--------,,0:0,0:0,01011001:01011001
SUCCESS at 18400 ns,,1,0,0,0,01011010,,0:0,0:0,--------:01011010
SUCCESS at 18500 ns,,0,0,1,0,--------,,0:0,0:0,01011010:01011010
SUCCESS at 18600 ns,,1,0,0,0,01011011,,0:0,0:0,--------:01011011
SUCCESS at 18700 ns,,0,0,1,0,--------,,0:0,0:0,01011011:01011011
SUCCESS at 18800 ns,,1,0,0,0,01011100,,0:0,0:0,--------:01011100
SUCCESS at 18900 ns,,0,0,1,0,--------,,0:0,0:0,01011100:01011100
SUCCESS at 19000 ns,,1,0,0,0,01011101,,0:0,0:0,--------:01011101
SUCCESS at 19100 ns,,0,0,1,0,--------,,0:0,0:0,01011101:01011101
SUCCESS at 19200 ns,,1,0,0,0,01011110,,0:0,0:0,--------:01011110
SUCCESS at 19300 ns,,0,0,1,0,--------,,0:0,0:0,01011110:01011110
SUCCESS at 19400 ns,,1,0,0,0,01011111,,0:0,0:0,--------:01011111
SUCCESS at 19500 ns,,0,0,1,0,--------,,0:0,0:0,01011111:01011111
SUCCESS at 19600 ns,,1,0,0,0,01100000,,0:0,0:0,--------:01100000
SUCCESS at 19700 ns,,0,0,1,0,--------,,0:0,0:0,01100000:01100000
SUCCESS at 19800 ns,,1,0,0,0,01100001,,0:0,0:0,--------:01100001
SUCCESS at 19900 ns,,0,0,1,0,--------,,0:0,0:0,01100001:01100001
SUCCESS at 20000 ns,,1,0,0,0,01100010,,0:0,0:0,--------:01100010
SUCCESS at 20100 ns,,0,0,1,0,--------,,0:0,0:0,01100010:01100010
SUCCESS at 20200 ns,,1,0,0,0,01100011,,0:0,0:0,--------:01100011
SUCCESS at 20300 ns,,0,0,1,0,--------,,0:0,0:0,01100011:01100011
SUCCESS at 20400 ns,,1,0,0,0,01100100,,0:0,0:0,--------:01100100
SUCCESS at 20500 ns,,0,0,1,0,--------,,0:0,0:0,01100100:01100100
